symptom_group,question_id,question,answer_option,risk_score,suspected_disease,required_resource_code,disease_id,canonical_disease_name
neuro,Q0001,급성의식장애 증상이 있습니까?,예,5.0,뇌졸중,ER_NEURO,D_NEU_003,뇌졸중
neuro,Q0002,급성신경학적 이상 증상이 있습니까?,예,4.0,뇌졸중,ER_NEURO,D_NEU_003,뇌졸중
neuro,Q0003,구토·의식장애 등의 증상이 있는 두부손상 증상이 있습니까?,예,3.0,외상성 뇌손상,ER_NEURO,D_TRM_009,외상성 뇌손상
cardio,Q0004,심폐소생술이 필요한 증상 증상이 있습니까?,예,5.0,심정지,ER_CARDIO,D_CAR_011,심정지
cardio,Q0005,급성호흡곤란 증상이 있습니까?,예,5.0,호흡부전,ER_RESP,D_RESP_018,호흡부전
cardio,Q0006,심장질환으로 인한 급성 흉통 증상이 있습니까?,예,4.0,급성 심근경색,ER_CARDIO,D_CAR_004,급성 심근경색
cardio,Q0007,심계항진 증상이 있습니까?,예,4.0,부정맥,ER_CARDIO,D_CAR_008,부정맥
cardio,Q0008,박동이상 증상이 있습니까?,예,4.0,부정맥,ER_CARDIO,D_CAR_008,부정맥
cardio,Q0009,쇼크 증상이 있습니까?,예,5.0,쇼크,ER_CRITICAL,D_CAR_009,쇼크
toxic,Q0010,심한 탈수 증상이 있습니까?,예,3.0,중증 탈수,ER_INTERNAL,D_DIG_016,중증 탈수
toxic,Q0011,약물 과다복용 증상이 있습니까?,예,4.0,약물중독,ER_TOX,D_TOX_008,약물중독
toxic,Q0012,알코올 중독 증상이 있습니까?,예,4.0,알코올중독,ER_TOX,D_TOX_007,알코올중독
toxic,Q0013,기타 물질 중독 증상이 있습니까?,예,4.0,중독,ER_TOX,D_TOX_013,중독
toxic,Q0014,급성대사장애 증상이 있습니까?,예,3.0,대사장애,ER_INTERNAL,D_TOX_004,대사장애
toxic,Q0015,간부전 증상이 있습니까?,예,3.0,간부전,ER_INTERNAL,D_TOX_001,간부전
toxic,Q0016,신부전 증상이 있습니까?,예,3.0,신부전,ER_INTERNAL,D_TOX_006,신부전
toxic,Q0017,당뇨병성 대사장애 증상이 있습니까?,예,3.0,당뇨병성 응급질환,ER_INTERNAL,D_TOX_003,당뇨병성 응급질환
surgery,Q0018,급성복막염 증상이 있습니까?,예,4.0,복막염,ER_SURGERY,D_DIG_008,복막염
surgery,Q0019,장폐색증 증상이 있습니까?,예,4.0,장폐색,ER_SURGERY,D_DIG_015,장폐색
surgery,Q0020,급성췌장염 증상이 있습니까?,예,4.0,급성췌장염,ER_SURGERY,D_DIG_003,급성췌장염
surgery,Q0021,개복술을 요하는 급성복증 증상이 있습니까?,예,4.0,급성복증,ER_SURGERY,D_SURG_002,급성복증
surgery,Q0022,광범위 화상 증상이 있습니까?,예,3.0,중증화상,ER_BURN,D_SURG_007,중증화상
surgery,Q0023,관통상 증상이 있습니까?,예,4.0,관통손상,ER_TRAUMA,D_SURG_001,관통손상
surgery,Q0024,개방성 골절 증상이 있습니까?,예,4.0,개방성골절,ER_TRAUMA,D_TRM_001,개방성 골절
surgery,Q0025,다발성 골절 증상이 있습니까?,예,4.0,다발성골절,ER_TRAUMA,D_SURG_003,다발성골절
