start_lat,start_lon,hospital_id,distance_km,hour,weekday,weather_type,rainfall,snowfall,mountain_area,tourist_season,avg_speed,actual_eta_min
,,A2200008,99.27883486309427,15,3,sunny,0,0,0,0,60,99.27883486309427
,,A2200009,1.4685180556631867,15,3,sunny,0,0,0,0,60,1.4685180556631867
,,A2200011,102.86145395785506,15,3,sunny,0,0,0,0,60,102.86145395785506
,,A2200007,135.4109868333446,15,3,sunny,0,0,0,0,60,135.4109868333446
,,A2200012,83.95739140293261,15,3,sunny,0,0,0,0,60,83.95739140293261
,,A2200002,100.86254779696662,15,3,sunny,0,0,0,0,60,100.86254779696662
,,A2200015,64.00524607235607,15,3,sunny,0,0,0,0,60,64.00524607235607
,,A2200038,127.12021826808667,15,3,sunny,0,0,0,0,60,127.12021826808669
,,A2200048,98.78251331325151,15,3,sunny,0,0,1,0,60,98.78251331325151
,,A2200004,141.81743534883418,15,3,sunny,0,0,1,0,60,141.81743534883418
,,A2200001,62.27803749747923,15,3,sunny,0,0,0,0,60,62.27803749747923
,,A2200005,104.08493163580135,15,3,sunny,0,0,0,0,60,104.08493163580135
,,A2200003,127.33050041396694,15,3,sunny,0,0,0,0,60,127.33050041396693
,,A2200037,33.79667947832836,15,3,sunny,0,0,1,0,60,33.79667947832836
,,A2200024,62.7873008414157,15,3,sunny,0,0,0,0,60,62.78730084141571
,,A2200046,82.23733383779364,15,3,sunny,0,0,0,0,60,82.23733383779364
,,A2200010,103.6653360800112,15,3,sunny,0,0,0,0,60,103.6653360800112
,,A2200033,0.2563163141189818,15,3,sunny,0,0,0,0,60,0.2563163141189818
,,A2201730,47.54060361846036,15,3,sunny,0,0,0,0,60,47.54060361846036
,,E2200026,81.99883525139191,15,3,sunny,0,0,1,0,60,81.99883525139191
,,A2200013,0.9403693663917202,15,3,sunny,0,0,0,0,60,0.9403693663917202
,,A2200014,25.673332430578043,15,3,sunny,0,0,1,0,60,25.673332430578043
,,E2200025,25.2059524289008,15,3,sunny,0,0,1,0,60,25.2059524289008
,,A2200016,49.910927934185125,15,3,sunny,0,0,0,0,60,49.910927934185125
