hospital_id,hospital_name,hospital_type,department,address,city,district,lat,lon,phone,weekday_open,weekday_close,weekend_open,has_weekend,night_service,is_emergency,emergency_level
H00001,강릉아산병원,OTHER,내과,"강원특별자치도 강릉시 사천면 방동길 38-0, 강릉아산병원",강릉시,사천면,37.8184324,128.8578411,033-610-3114,,,,0,0,1,LOCAL
H00002,연세대학교 원주세브란스기독병원,OTHER,내과,"강원특별자치도 원주시 일산로 20-0,  (일산동)",원주시,일산로,37.3490013,127.9456638,033-741-0114,,,,0,0,1,LOCAL
H00003,강원대학교병원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 춘천시 백령로 156, (효자동)",춘천시,백령로,37.8751611,127.7448909,033-258-2000,,,,0,0,1,LOCAL
H00004,강원특별자치도강릉의료원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 강릉시 경강로 2007-0, 강릉의료원",강릉시,경강로,37.7492828,128.8888316,033-610-1200,,,,0,0,1,LOCAL
H00005,강원특별자치도삼척의료원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 삼척시 오십천로 473-0, 강원특별자치도삼척의료원",삼척시,오십천로,37.4400223,129.1705232,033-572-1141,,,,0,0,1,LOCAL
H00006,강원특별자치도속초의료원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 속초시 영랑호반길 3, (영랑동)",속초시,영랑호반길,38.2164607,128.5892486,033-630-6000,,,,0,0,1,LOCAL
H00007,강원특별자치도영월의료원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 영월군 영월읍 중앙1로 59, (영월읍)",영월군,영월읍,37.1864525,128.4652387,033-370-9101,,,,0,0,1,LOCAL
H00008,강원특별자치도원주의료원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 원주시 서원대로 387,  (개운동)",원주시,서원대로,37.332608,127.949225,033-760-4500,,,,0,0,1,LOCAL
H00009,근로복지공단 동해병원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 동해시 하평로 11, (평릉동)",동해시,하평로,37.5321225,129.106078,033-530-3100,,,,0,0,1,LOCAL
H00010,근로복지공단 태백병원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 태백시 보드미길 8,  (장성동)",태백시,보드미길,37.1040964,129.0043366,033-580-3114,,,,0,0,1,LOCAL
H00011,온재병원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 속초시 중앙로 11-0, 속초보광병원",속초시,중앙로,38.1980014,128.5783901,033-639-8500,,,,0,0,0,NONE
