case_id,raw_text,cleaned_text,symptom_keywords,symptom_group,department,suspected_disease,severity_level,remove_reason
2,간부전가 계속됩니다,간부전가 계속됩니다,간부전,toxic,응급의학과,간부전,2,bad_pattern:가 계속됩니다
4,간부전 증상인데 위험한가요,간부전 증상인데 위험한가요,간부전,toxic,응급의학과,간부전,2,bad_pattern:증상인데 위험한가요
15,간부전 때문에 병원 가야 하나요,간부전 때문에 병원 가야 하나요,간부전,toxic,응급의학과,간부전,2,bad_pattern:때문에 병원 가야 하나요
16,객혈 증상인데 위험한가요,객혈 증상인데 위험한가요,객혈,bleeding,응급의학과,객혈,4,bad_pattern:증상인데 위험한가요
17,객혈가 계속됩니다,객혈가 계속됩니다,객혈,bleeding,응급의학과,객혈,4,bad_pattern:가 계속됩니다
24,객혈 때문에 병원 가야 하나요,객혈 때문에 병원 가야 하나요,객혈,bleeding,응급의학과,객혈,4,bad_pattern:때문에 병원 가야 하나요
29,골절 때문에 병원 가야 하나요,골절 때문에 병원 가야 하나요,골절,trauma,정형외과,골절,3,bad_pattern:때문에 병원 가야 하나요
40,골절 증상인데 위험한가요,골절 증상인데 위험한가요,골절,trauma,정형외과,골절,3,bad_pattern:증상인데 위험한가요
53,골절가 계속됩니다,골절가 계속됩니다,골절,trauma,정형외과,골절,3,bad_pattern:가 계속됩니다
67,관통손상 증상인데 위험한가요,관통손상 증상인데 위험한가요,관통손상,trauma,정형외과,관통손상,4,bad_pattern:증상인데 위험한가요
70,관통손상 때문에 병원 가야 하나요,관통손상 때문에 병원 가야 하나요,관통손상,trauma,정형외과,관통손상,4,bad_pattern:때문에 병원 가야 하나요
71,관통손상가 계속됩니다,관통손상가 계속됩니다,관통손상,trauma,정형외과,관통손상,4,bad_pattern:가 계속됩니다
82,귀 이물가 계속됩니다,귀 이물가 계속됩니다,귀 이물,foreign_body,이비인후과,귀 이물,2,bad_pattern:가 계속됩니다
84,귀 이물 증상인데 위험한가요,귀 이물 증상인데 위험한가요,귀 이물,foreign_body,이비인후과,귀 이물,2,bad_pattern:증상인데 위험한가요
95,귀 이물 때문에 병원 가야 하나요,귀 이물 때문에 병원 가야 하나요,귀 이물,foreign_body,이비인후과,귀 이물,2,bad_pattern:때문에 병원 가야 하나요
99,급성 시력상실 증상인데 위험한가요,급성 시력상실 증상인데 위험한가요,급성 시력상실,eye,안과,급성 시력상실,5,bad_pattern:증상인데 위험한가요
100,급성 시력상실 때문에 병원 가야 하나요,급성 시력상실 때문에 병원 가야 하나요,급성 시력상실,eye,안과,급성 시력상실,5,bad_pattern:때문에 병원 가야 하나요
107,급성 시력상실가 계속됩니다,급성 시력상실가 계속됩니다,급성 시력상실,eye,안과,급성 시력상실,5,bad_pattern:가 계속됩니다
122,급성 심근경색 때문에 병원 가야 하나요,급성 심근경색 때문에 병원 가야 하나요,급성 심근경색,cardio,심장내과,급성 심근경색,4,bad_pattern:때문에 병원 가야 하나요
125,급성 심근경색 증상인데 위험한가요,급성 심근경색 증상인데 위험한가요,급성 심근경색,cardio,심장내과,급성 심근경색,4,bad_pattern:증상인데 위험한가요
127,급성 심근경색가 계속됩니다,급성 심근경색가 계속됩니다,급성 심근경색,cardio,심장내과,급성 심근경색,4,bad_pattern:가 계속됩니다
145,급성복증 증상인데 위험한가요,급성복증 증상인데 위험한가요,급성복증,abdominal,소화기내과,급성복증,3,bad_pattern:증상인데 위험한가요
158,급성복증가 계속됩니다,급성복증가 계속됩니다,급성복증,abdominal,소화기내과,급성복증,3,bad_pattern:가 계속됩니다
160,급성복증 때문에 병원 가야 하나요,급성복증 때문에 병원 가야 하나요,급성복증,abdominal,소화기내과,급성복증,3,bad_pattern:때문에 병원 가야 하나요
170,급성췌장염 증상인데 위험한가요,급성췌장염 증상인데 위험한가요,급성췌장염,abdominal,소화기내과,급성췌장염,4,bad_pattern:증상인데 위험한가요
173,급성췌장염가 계속됩니다,급성췌장염가 계속됩니다,급성췌장염,abdominal,소화기내과,급성췌장염,4,bad_pattern:가 계속됩니다
180,급성췌장염 때문에 병원 가야 하나요,급성췌장염 때문에 병원 가야 하나요,급성췌장염,abdominal,소화기내과,급성췌장염,4,bad_pattern:때문에 병원 가야 하나요
190,기도폐쇄가 계속됩니다,기도폐쇄가 계속됩니다,기도폐쇄,respiratory,응급의학과,기도폐쇄,5,bad_pattern:가 계속됩니다
191,기도폐쇄 증상인데 위험한가요,기도폐쇄 증상인데 위험한가요,기도폐쇄,respiratory,응급의학과,기도폐쇄,5,bad_pattern:증상인데 위험한가요
198,기도폐쇄 때문에 병원 가야 하나요,기도폐쇄 때문에 병원 가야 하나요,기도폐쇄,respiratory,응급의학과,기도폐쇄,5,bad_pattern:때문에 병원 가야 하나요
206,기타 응급질환가 계속됩니다,기타 응급질환가 계속됩니다,기타 응급질환,etc_emerg,응급의학과,기타 응급질환,1,bad_pattern:가 계속됩니다
222,기타 응급질환 증상인데 위험한가요,기타 응급질환 증상인데 위험한가요,기타 응급질환,etc_emerg,응급의학과,기타 응급질환,1,bad_pattern:증상인데 위험한가요
229,기타 응급질환 때문에 병원 가야 하나요,기타 응급질환 때문에 병원 가야 하나요,기타 응급질환,etc_emerg,응급의학과,기타 응급질환,1,bad_pattern:때문에 병원 가야 하나요
270,뇌졸중 때문에 병원 가야 하나요,뇌졸중 때문에 병원 가야 하나요,뇌졸중,neuro,신경과,뇌졸중,4,bad_pattern:때문에 병원 가야 하나요
271,뇌졸중가 계속됩니다,뇌졸중가 계속됩니다,뇌졸중,neuro,신경과,뇌졸중,4,bad_pattern:가 계속됩니다
290,뇌졸중 증상인데 위험한가요,뇌졸중 증상인데 위험한가요,뇌졸중,neuro,신경과,뇌졸중,4,bad_pattern:증상인데 위험한가요
312,눈 이물 증상인데 위험한가요,눈 이물 증상인데 위험한가요,눈 이물,eye,안과,눈 이물,2,bad_pattern:증상인데 위험한가요
