label,precision,recall,f1_score,support
COPD 급성악화,1.0,1.0,1.0,1
각막손상,1.0,1.0,1.0,2
간부전,0.9524,1.0,0.9756,20
간염,1.0,1.0,1.0,2
감기,1.0,1.0,1.0,2
갑상선 기능 저하증,1.0,1.0,1.0,1
갑상선 기능 항진증,1.0,1.0,1.0,2
개방성 골절,1.0,1.0,1.0,2
객혈,1.0,1.0,1.0,20
결막염,1.0,1.0,1.0,2
경련 발작,1.0,1.0,1.0,2
경추손상,1.0,1.0,1.0,1
고열 동반 호흡곤란,1.0,1.0,1.0,3
고혈당성 응급,0.3333,1.0,0.5,1
고혈압,1.0,1.0,1.0,1
고혈압성 응급,1.0,1.0,1.0,1
고환염전,1.0,1.0,1.0,2
골절,1.0,1.0,1.0,20
공황발작,1.0,1.0,1.0,2
공황장애,1.0,1.0,1.0,1
과민성대장증후군,1.0,1.0,1.0,2
급성 시력상실,1.0,1.0,1.0,20
급성 신우신염,1.0,1.0,1.0,2
급성 심근경색,1.0,1.0,1.0,20
급성 심부전,1.0,1.0,1.0,1
급성 충수염,1.0,1.0,1.0,2
기관지염,1.0,1.0,1.0,2
기도 이물,1.0,1.0,1.0,2
기도폐쇄,1.0,0.9,0.9474,20
기흉,1.0,1.0,1.0,1
긴장성 두통,1.0,1.0,1.0,1
노로바이러스 의심 급성 위장염,1.0,1.0,1.0,1
뇌수막염,1.0,1.0,1.0,2
뇌졸중,1.0,1.0,1.0,20
뇌진탕 의심 두부손상,1.0,1.0,1.0,1
눈 화학손상,0.6667,1.0,0.8,2
다발성외상,1.0,1.0,1.0,2
담낭염,1.0,1.0,1.0,1
담석증,1.0,1.0,1.0,1
당뇨병,1.0,1.0,1.0,1
대동맥박리,1.0,1.0,1.0,2
대량출혈,1.0,1.0,1.0,20
대상포진,1.0,1.0,1.0,1
독감,1.0,1.0,1.0,2
독사교상,1.0,0.95,0.9744,20
두드러기,1.0,1.0,1.0,2
디스크,1.0,1.0,1.0,1
류마티스 관절염,1.0,1.0,1.0,1
망막박리 의심,1.0,1.0,1.0,2
맹장염,1.0,1.0,1.0,2
무좀,1.0,1.0,1.0,1
방광염,1.0,1.0,1.0,2
벌쏘임,1.0,1.0,1.0,20
복막염,1.0,1.0,1.0,20
부정맥,1.0,1.0,1.0,20
분만 임박,1.0,1.0,1.0,1
불면증,1.0,1.0,1.0,2
빈혈,1.0,1.0,1.0,2
섬망 의심,0.3333,1.0,0.5,1
소아 탈수,1.0,1.0,1.0,2
수막염 의심,0.0,0.0,0.0,1
식도 이물,1.0,1.0,1.0,2
식중독,1.0,1.0,1.0,2
신부전,1.0,1.0,1.0,20
신장결석,1.0,1.0,1.0,2
실신,1.0,1.0,1.0,1
심근경색,1.0,1.0,1.0,2
심부전,1.0,1.0,1.0,1
심정지,0.9091,1.0,0.9524,20
아나필락시스,1.0,1.0,1.0,22
아토피,1.0,1.0,1.0,2
안면외상,1.0,1.0,1.0,1
알레르기 비염,1.0,1.0,1.0,1
알코올중독,1.0,0.5,0.6667,2
압궤손상,1.0,1.0,1.0,2
약물중독,1.0,1.0,1.0,20
역류성 식도염,1.0,1.0,1.0,2
열사병,1.0,1.0,1.0,22
열성경련,1.0,1.0,1.0,1
영아 호흡곤란,0.5,1.0,0.6667,2
오십견,1.0,1.0,1.0,1
외상성 뇌손상,1.0,1.0,1.0,2
요로감염,1.0,1.0,1.0,1
요로결석,1.0,1.0,1.0,2
우울증,1.0,1.0,1.0,1
위궤양,1.0,1.0,1.0,1
위염,1.0,1.0,1.0,1
위장관출혈,1.0,1.0,1.0,20
익수,1.0,1.0,1.0,20
일산화탄소중독,1.0,0.9091,0.9524,22
임신 중 복통출혈,1.0,0.5,0.6667,2
자궁외임신 의심,0.5,1.0,0.6667,1
자살위험,0.5,1.0,0.6667,1
장염,1.0,1.0,1.0,2
장폐색,1.0,1.0,1.0,20
저체온증,1.0,0.9545,0.9767,22
저혈당,0.0,0.0,0.0,2
전기손상,1.0,1.0,1.0,20
전립선염,1.0,1.0,1.0,2
절단손상,1.0,1.0,1.0,2
중이염,1.0,1.0,1.0,2
중증 탈수,1.0,1.0,1.0,2
질식,1.0,1.0,1.0,20
척추손상,1.0,1.0,1.0,2
천식,1.0,1.0,1.0,2
천식 악화,1.0,1.0,1.0,1
치매 초기,1.0,1.0,1.0,2
코로나19,1.0,1.0,1.0,2
탈구,1.0,1.0,1.0,20
통풍,1.0,1.0,1.0,1
패혈증 의심,1.0,1.0,1.0,1
편도염,1.0,1.0,1.0,1
편두통,1.0,1.0,1.0,2
편두통 위험징후,1.0,1.0,1.0,2
폐렴,1.0,1.0,1.0,1
폐렴 의심 고열,0.5,0.5,0.5,2
폐색전증,1.0,1.0,1.0,2
혈관부종,1.0,1.0,1.0,2
협심증,1.0,1.0,1.0,2
화상,1.0,1.0,1.0,20
화학물질중독,1.0,0.9545,0.9767,22
macro avg,0.952,0.9683,0.9536,700
weighted avg,0.9846,0.9814,0.9812,700
