disease_id,disease_name,aliases,symptom_group,body_part,disease_category,symptoms,related_diseases,department,severity_level,required_resource_code,is_emergency,is_model_target,source,mapping_status
D_RESP_001,COPD 급성악화,,respiratory,lung_airway,emergency,가래 증가;만성폐질환;산소;숨참;응급실;증상;청색증,,호흡기내과,5,ER_RESP,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_EYE_001,각막손상,,eye,eye,emergency,눈 찔림;눈물;시야흐림;응급실;이물감;증상;찔림;통증,,안과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_TOX_001,간부전,,toxic,toxic_exposure,emergency,간부전;노래졌어요;눈이;황달,,응급의학과,4,ER_GENERAL,1,1,naver_kin;question_map;triage_rule,mapped
D_DIG_001,간염,,abdominal,abdomen,primary_care,간수치;소변색진함;식욕저하;피로;황달,,소화기내과,3,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_RESP_002,감기,,respiratory,lung_airway,primary_care,기침;목아픔;미열;재채기;콧물,,이비인후과,1,ER_RESP,0,1,naver_kin;question_map,mapped
D_END_001,갑상선 기능 저하증,,endocrine,endocrine,specialty_care,갑상선;붓기;체중증가;추위;피곤,,내분비내과,1,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_END_002,갑상선 기능 항진증,,endocrine,endocrine,specialty_care,갑상선;더위;손떨림;심장빨리;체중감소,,내분비내과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_TRM_001,개방성 골절,개방성골절,trauma,trauma,emergency,개방성 골절;극심한 통증;변형;보임;뼈 보임;응급실;증상;출혈,,정형외과,5,ER_TRAUMA,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_BLD_001,객혈,,bleeding,systemic,emergency,가래에;객혈;뱉었어요;피를,,응급의학과,4,ER_TRAUMA,1,1,naver_kin;question_map;triage_rule,mapped
D_EYE_002,결막염,,eye,eye,specialty_care,가려움;결막;눈곱;눈물;눈충혈,,안과,1,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_NEU_001,경련 발작,,neuro,brain_nerve,emergency,거품;경련;반복;발작;응급실;의식저하;증상,,신경과,5,ER_NEURO,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_TRM_002,경추손상,,trauma,trauma,emergency,교통사고;다침;목 다침;목 통증;응급실;증상;추락;팔다리 마비,,응급의학과,5,ER_TRAUMA,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_RESP_003,고열 동반 호흡곤란,,respiratory,lung_airway,emergency,40도;40도 열;고열;숨쉬기 힘듦;응급실;증상;청색증;호흡곤란,,응급의학과,5,ER_RESP,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_TOX_002,고혈당성 응급,,toxic,toxic_exposure,emergency,구토;당뇨;복통;응급실;의식저하;증상;혈당 높음,,응급의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_CAR_001,고혈압,,cardio,heart,specialty_care,고혈압;두통;뒷목당김;어지럼;혈압,,심장내과,2,ER_CARDIO,0,1,naver_kin;question_map,mapped
D_CAR_002,고혈압성 응급,,cardio,heart,emergency,180;시야 이상;신경증상;심한 두통;응급실;증상;혈압;혈압 180;흉통,,응급의학과,5,ER_CARDIO,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_URO_001,고환염전,,urology,urinary,emergency,갑작스런 통증;고환통;구토;붓기;응급실;증상;청소년,,비뇨의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_TRM_003,골절,,trauma,trauma,emergency,같아요;골절;발목;부러진;뼈가;손목,,정형외과,3,ER_TRAUMA,1,1,naver_kin;question_map;triage_rule,mapped
D_PSY_001,공황발작,,psychiatric,mental_health,emergency,공황;두근거림;불안;숨막힘;응급실;죽을 것 같음;증상,,정신건강의학과,3,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_PSY_002,공황장애,,psychiatric,mental_health,primary_care,공포;발작;불안;숨막힘;심장두근,,정신건강의학과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_DIG_002,과민성대장증후군,,abdominal,abdomen,primary_care,긴장;반복;변비;복통;설사,,소화기내과,1,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_CAR_003,과호흡증후군,,cardio,heart,emergency,,,내과,1,ER_CARDIO,1,0,triage_rule,mapped
D_SURG_001,관통손상,,surgery,surgery,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_FB_001,귀 이물,,foreign_body,airway_or_body,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_EYE_003,급성 시력상실,,eye,eye,emergency,눈앞이;눈이;보여요;시력을;잃었어요;캄캄해요;한쪽,,안과,5,ER_GENERAL,1,1,naver_kin;question_map;triage_rule,mapped
D_URO_002,급성 신우신염,,urology,urinary,emergency,고열;소변통;옆구리;옆구리 통증;오한;응급실;증상;통증;혈뇨,,비뇨의학과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
