question_id,suspected_disease,symptom_group,question,positive_keywords,risk_score,required_resource_code,importance,disease_id,canonical_disease_name
DQ_LIVER_001,간부전,abdominal,눈이나 피부가 노랗거나 의식이 흐려졌나요?,황달;눈노람;피부노람;의식흐림,4,ER_GENERAL,4,D_TOX_001,간부전
DQ_LIVER_FAILURE_001,간부전,toxic,피부나 눈 흰자가 노랗게 보이거나 소변 색이 진해졌나요?,황달;눈노람;피부노람;진한소변;소변색,4,ER_GENERAL,5,D_TOX_001,간부전
DQ_LIVER_FAILURE_002,간부전,toxic,의식이 멍하거나 말이 느려지고 심하게 졸린 상태인가요?,의식저하;혼돈;졸림;말느림;간성혼수,5,ER_GENERAL,5,D_TOX_001,간부전
DQ_LIVER_FAILURE_003,간부전,toxic,"피를 토하거나 검은 변, 코피처럼 출혈이 동반되나요?",토혈;검은변;혈변;코피;출혈,5,ER_TRAUMA,5,D_TOX_001,간부전
DQ_LIVER_FAILURE_004,간부전,toxic,복부가 갑자기 심하게 붓거나 숨이 찰 정도로 팽만한가요?,복부팽만;배부름;복수;숨참,4,ER_GENERAL,4,D_TOX_001,간부전
DQ_HEMOPTYSIS_001,객혈,bleeding,기침할 때 선홍색 피가 한 숟가락 이상 나오나요?,피;선홍색;객혈;기침피;한숟가락,5,ER_RESP,5,D_BLD_001,객혈
DQ_HEMOPTYSIS_002,객혈,bleeding,피가 계속 나오거나 양이 빠르게 늘고 있나요?,계속;많이;대량;멈추지;양이늘,5,ER_RESP,5,D_BLD_001,객혈
DQ_HEMOPTYSIS_003,객혈,bleeding,"숨이 차거나 산소가 부족한 느낌, 입술이 파래지는 증상이 있나요?",숨참;호흡곤란;산소부족;청색증;입술파래,5,ER_RESP,5,D_BLD_001,객혈
DQ_HEMOPTYSIS_004,객혈,bleeding,"가슴 통증이나 어지럼, 식은땀이 동반되나요?",가슴통증;흉통;어지럼;식은땀,4,ER_RESP,4,D_BLD_001,객혈
DQ_HEMOPTYSIS_005,객혈,bleeding,"결핵, 폐질환, 항응고제 복용 병력이 있나요?",결핵;폐질환;항응고제;와파린;아스피린,3,ER_RESP,3,D_BLD_001,객혈
DQ_FRACTURE_001,골절,trauma,다친 부위가 변형되었거나 움직이기 어렵나요?,변형;움직이기어려움;골절,4,ER_TRAUMA,4,D_TRM_003,골절
DQ_FRACTURE_002,골절,trauma,다친 부위가 눈에 띄게 휘었거나 뼈가 보이나요?,변형;휘어짐;뼈보임;개방성;골절,5,ER_TRAUMA,5,D_TRM_003,골절
DQ_FRACTURE_003,골절,trauma,다친 부위를 움직이기 어렵거나 체중을 실을 수 없나요?,못움직임;체중부하불가;걷기힘듦;움직임제한,4,ER_TRAUMA,4,D_TRM_003,골절
DQ_FRACTURE_004,골절,trauma,손발 끝이 저리거나 감각이 둔하고 차갑게 느껴지나요?,저림;감각저하;차가움;창백;혈액순환,5,ER_TRAUMA,5,D_TRM_003,골절
DQ_FRACTURE_005,골절,trauma,붓기나 통증이 빠르게 심해지고 있나요?,부종;붓기;심한통증;악화,4,ER_TRAUMA,4,D_TRM_003,골절
DQ_EYE_001,급성 시력상실,eye,갑자기 시야가 흐려지거나 한쪽 눈이 잘 보이지 않나요?,시야흐림;눈안보임;시력저하;한쪽눈,5,ER_GENERAL,5,D_EYE_003,급성 시력상실
DQ_VISION_LOSS_001,급성 시력상실,eye,한쪽 또는 양쪽 시야가 갑자기 안 보이거나 검게 가려졌나요?,시야상실;안보임;검게;갑자기;시력저하,5,ER_GENERAL,5,D_EYE_003,급성 시력상실
DQ_VISION_LOSS_002,급성 시력상실,eye,"눈 통증, 심한 두통, 구토가 함께 있나요?",눈통증;두통;구토;안압,5,ER_GENERAL,5,D_EYE_003,급성 시력상실
DQ_VISION_LOSS_003,급성 시력상실,eye,말이 어눌하거나 한쪽 팔다리 힘 빠짐 같은 신경 증상이 있나요?,말어눌;마비;힘빠짐;편마비;뇌졸중,5,ER_NEURO,5,D_EYE_003,급성 시력상실
DQ_VISION_LOSS_004,급성 시력상실,eye,눈을 다쳤거나 화학물질이 들어간 뒤 시력이 떨어졌나요?,외상;화학물질;눈손상;튀었;화상,5,ER_GENERAL,4,D_EYE_003,급성 시력상실
DQ_MI_001,급성 심근경색,cardio,가슴 통증이나 가슴이 조이는 느낌이 있나요?,가슴통증;흉통;가슴이조임;가슴이답답,5,ER_CARDIO,5,D_CAR_004,급성 심근경색
DQ_MI_002,급성 심근경색,cardio,식은땀이 나거나 창백해지는 증상이 있나요?,식은땀;창백,4,ER_CARDIO,4,D_CAR_004,급성 심근경색
DQ_MI_003,급성 심근경색,cardio,"왼팔, 턱, 등 쪽으로 통증이나 저림이 퍼지나요?",왼팔;턱;등;방사통;저림,4,ER_CARDIO,4,D_CAR_004,급성 심근경색
DQ_MI_004,급성 심근경색,cardio,"숨이 차거나 메스꺼움, 어지러움이 동반되나요?",숨참;메스꺼움;어지러움;호흡곤란,4,ER_CARDIO,4,D_CAR_004,급성 심근경색
DQ_MI_005,급성 심근경색,cardio,가슴 중앙이 조이거나 짓누르는 통증이 10분 이상 지속되나요?,가슴통증;흉통;조임;짓누름;10분,5,ER_CARDIO,5,D_CAR_004,급성 심근경색
DQ_PAN_001,급성췌장염,abdominal,상복부 통증이 등으로 퍼지거나 구토가 동반되나요?,상복부;등통증;구토,4,ER_GENERAL,4,D_DIG_003,급성췌장염
DQ_AIRWAY_001,기도폐쇄,respiratory,숨 쉴 때 쌕쌕거리거나 기도가 막힌 느낌이 있나요?,쌕쌕;기도;막힘;숨막힘,5,ER_RESP,5,D_RESP_005,기도폐쇄
DQ_AIRWAY_OBSTRUCTION_001,기도폐쇄,respiratory,목에 무언가 걸린 뒤 말을 하거나 숨 쉬기 어렵나요?,목걸림;기도막힘;말못함;숨못쉼;이물,5,ER_RESP,5,D_RESP_005,기도폐쇄
DQ_AIRWAY_OBSTRUCTION_002,기도폐쇄,respiratory,기침을 해도 이물이 나오지 않고 숨소리가 약해졌나요?,기침안됨;숨소리;쌕쌕;이물;막힘,5,ER_RESP,5,D_RESP_005,기도폐쇄
DQ_AIRWAY_OBSTRUCTION_003,기도폐쇄,respiratory,입술이나 얼굴이 파래지거나 의식이 흐려지나요?,입술파래;청색증;얼굴파래;의식저하,5,ER_RESP,5,D_RESP_005,기도폐쇄
DQ_AIRWAY_OBSTRUCTION_004,기도폐쇄,respiratory,침을 삼키기 어렵거나 침을 흘리고 있나요?,침흘림;삼키기어려움;연하곤란,4,ER_RESP,4,D_RESP_005,기도폐쇄
DQ_STROKE_001,뇌졸중,neuro,한쪽 팔이나 다리에 힘이 빠지나요?,한쪽팔;한쪽다리;힘이안;마비;편마비,5,ER_NEURO,5,D_NEU_003,뇌졸중
