suspected_disease,symptom_group,department,severity_level,search_keywords
뇌진탕 의심 두부손상,trauma,응급의학과,5,머리 맞음;두부외상;기절;의식소실;구토;사다리 추락
외상성 뇌손상,trauma,응급의학과,5,두부손상;의식저하;반복구토;두통악화;두개골골절
경추손상,trauma,응급의학과,5,목 다침;목 통증;팔다리 마비;추락;교통사고
척추손상,trauma,응급의학과,5,허리 외상;감각저하;마비;대소변장애;추락
다발성외상,trauma,응급의학과,5,교통사고;추락;여러 부위 손상;의식저하;출혈
개방성 골절,trauma,정형외과,5,뼈 보임;개방성 골절;출혈;변형;극심한 통증
절단손상,trauma,응급의학과,5,손가락 절단;발가락 절단;절단;압궤;출혈
압궤손상,trauma,응급의학과,5,끼임;눌림;압궤;붓기;감각저하
안면외상,trauma,응급의학과,4,얼굴 다침;코피;턱 통증;시야 이상;치아 손상
고열 동반 호흡곤란,respiratory,응급의학과,5,40도 열;고열;숨쉬기 힘듦;호흡곤란;청색증
폐렴 의심 고열,respiratory,호흡기내과,4,고열;기침;가래;숨참;흉통
천식 악화,respiratory,호흡기내과,5,천식;쌕쌕;흡입기;숨참;말하기 어려움
COPD 급성악화,respiratory,호흡기내과,5,만성폐질환;가래 증가;숨참;청색증;산소
기흉,respiratory,호흡기내과,5,갑작스런 흉통;숨참;한쪽 가슴;마른체형;호흡곤란
폐색전증,respiratory,응급의학과,5,갑작스런 숨참;흉통;다리부종;수술후;장거리 이동
급성 심부전,cardio,심장내과,5,숨참;누우면 악화;다리부종;거품가래;심부전
대동맥박리,cardio,응급의학과,5,찢어지는 흉통;등 통증;혈압차;실신;대동맥
고혈압성 응급,cardio,응급의학과,5,혈압 180;심한 두통;흉통;시야 이상;신경증상
실신,neuro,응급의학과,4,기절;쓰러짐;의식소실;어지럼;회복
경련 발작,neuro,신경과,5,경련;발작;거품;의식저하;반복
수막염 의심,neuro,응급의학과,5,고열;목 뻣뻣;두통;구토;의식저하
편두통 위험징후,neuro,신경과,3,두통;시야번쩍;구토;편측;반복
급성 충수염,abdominal,외과,4,오른쪽 아랫배;복통;열;구토;눌렀다 뗄 때 통증
담낭염,abdominal,소화기내과,4,오른쪽 윗배;열;구토;기름진 음식;황달
요로결석,urology,비뇨의학과,4,옆구리 통증;혈뇨;구토;소변통;극심한 통증
급성 신우신염,urology,비뇨의학과,4,고열;옆구리 통증;소변통;오한;혈뇨
고환염전,urology,비뇨의학과,5,고환통;갑작스런 통증;붓기;구토;청소년
노로바이러스 의심 급성 위장염,abdominal,소화기내과,4,굴;생굴;해산물;구토;설사;복통;오한
식중독,abdominal,소화기내과,4,상한 음식;구토;설사;복통;열
중증 탈수,abdominal,응급의학과,5,소변감소;입마름;어지럼;반복구토;설사
저혈당,toxic,응급의학과,5,당뇨;식은땀;손떨림;의식저하;혈당 낮음
고혈당성 응급,toxic,응급의학과,5,당뇨;혈당 높음;구토;복통;의식저하
패혈증 의심,infection,응급의학과,5,고열;저체온;의식저하;호흡빠름;혈압저하
열성경련,pediatric,소아청소년과,5,아이 고열;경련;발작;의식;반복
영아 호흡곤란,pediatric,소아청소년과,5,아기;숨참;쌕쌕;청색증;수유곤란
소아 탈수,pediatric,소아청소년과,4,아이 설사;구토;소변감소;눈물없음;축 처짐
임신 중 복통출혈,obgy,산부인과,5,임신;복통;질출혈;어지럼;태동감소
자궁외임신 의심,obgy,산부인과,5,임신초기;아랫배통증;질출혈;어지럼;실신
분만 임박,obgy,산부인과,5,진통;양수;출산;규칙적 통증;임신
자살위험,psychiatric,정신건강의학과,5,자살;죽고싶다;약 먹음;자해;유서
공황발작,psychiatric,정신건강의학과,3,공황;숨막힘;두근거림;죽을 것 같음;불안
섬망 의심,psychiatric,응급의학과,4,갑자기 이상행동;혼돈;고령;의식변화;환각
눈 화학손상,eye,안과,5,락스 눈;화학물질 눈;눈 통증;시야 이상;세척
망막박리 의심,eye,안과,4,번쩍임;날파리;시야 가림;갑작스런 시력저하;커튼
각막손상,eye,안과,4,눈 찔림;이물감;통증;눈물;시야흐림
기도 이물,foreign_body,응급의학과,5,목에 걸림;음식물;말 못함;기침 못함;청색증
식도 이물,foreign_body,이비인후과,4,삼킴곤란;생선가시;목통증;침흘림;흉통
아나필락시스,allergy,알레르기내과,5,두드러기;입술부음;숨참;어지럼;벌쏘임
혈관부종,allergy,알레르기내과,5,입술부음;혀부음;목조임;약물;알레르기
저체온증,toxic,응급의학과,5,추위노출;떨림;의식저하;체온저하;젖은 옷
열사병,toxic,응급의학과,5,더위;고온;의식혼란;고열;땀 안남
일산화탄소중독,toxic,응급의학과,5,연탄;보일러;두통;어지럼;여러명 증상
화학물질중독,toxic,응급의학과,5,락스;농약;세제;흡입;구토
알코올중독,toxic,응급의학과,4,술;의식저하;구토;호흡느림;만취
